sku,_store,_attribute_set,_type,_category,_product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,related_skus,related_position,crosssell_skus,crosssell_position,upsell_skus,upsell_position,additional_images,additional_image_labels,hide_from_product_page,custom_options,color,size,climate,eco_collection,erin_recommends,material,new,pattern,performance_fabric,sale,style_general,style_bottom,cost,activity,features_bags,strap_bags,style_bags,category_gear,gender,format,price_type,price_view,shipment_type,sku_type,weight_type
pd4201-12,,Top,simple,"Realistic Dildos",,"6"" Dong - Purple","Pipedream has put a new twist on a classic product to bring you the best possible rubber made in the USA. Our American-made rubber is 100 percent phthalates and latex-free, environmentally safe and hypoallergenic.  We hope you enjoy using this product as much as we like making it!",,291.0000,1,"Taxable Goods","Catalog, Search",18.9500,,,,http://www.shotsmedia.nl/product_info.php?products_id=22564,,,,,,,,,,,,"30/11/2017, 23:11","30/11/2017, 23:16",,,"Block after Info Column",,,,,,,,,,,"Use config",,9.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,0.0000,1,0,0,0,,,,,,,,,,,Purple,"55 cm",,,,,,,,,,,,,,,,,,,,,,,
pd4201-20,,Top,simple,"Realistic Dildos",,"6"" Dong - Transparent","Pipedream has put a new twist on a classic product to bring you the best possible rubber made in the USA. Our American-made rubber is 100 percent phthalates and latex-free, environmentally safe and hypoallergenic.  We hope you enjoy using this product as much as we like making it!",,291.0000,1,"Taxable Goods","Catalog, Search",18.9500,,,,http://www.shotsmedia.nl/product_info.php?products_id=22565,,,,,,,,,,,,"30/11/2017, 23:11","30/11/2017, 23:16",,,"Block after Info Column",,,,,,,,,,,"Use config",,5.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,0.0000,1,0,0,0,,,,,,,,,,,transparent,"55 cm",,,,,,,,,,,,,,,,,,,,,,,
pd4201-29,,Top,simple,"Realistic Dildos",,"6"" Dong - Brown","Pipedream has put a new twist on a classic product to bring you the best possible rubber made in the USA. Our American-made rubber is 100 percent phthalates and latex-free, environmentally safe and hypoallergenic.  We hope you enjoy using this product as much as we like making it!",,291.0000,1,"Taxable Goods","Catalog, Search",18.9500,,,,http://www.shotsmedia.nl/product_info.php?products_id=22566,,,,,,,,,,,,"30/11/2017, 23:11","30/11/2017, 23:16",,,"Block after Info Column",,,,,,,,,,,"Use config",,11.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,0.0000,1,0,0,0,,,,,,,,,,,Brown,"55 cm",,,,,,,,,,,,,,,,,,,,,,,
pd4205-20,,Top,simple,"Realistic Dildos",,"8"" Dong","Pipedream has put a new twist on a classic product to bring you the best possible rubber made in the USA. Our American-made rubber is 100% phthalates and latex-free, environmentally safe and hypoallergenic.  We hope you enjoy using this product as much as we like making it!",,432.0000,1,"Taxable Goods","Catalog, Search",26.9500,,,,http://www.shotsmedia.nl/product_info.php?products_id=22569,,,,,,,,,,,,"30/11/2017, 23:11","30/11/2017, 23:16",,,"Block after Info Column",,,,,,,,,,,"Use config",,15.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,0.0000,1,0,0,0,,,,,,,,,,,transparent,"55 cm",,,,,,,,,,,,,,,,,,,,,,,
pd4208-11,,Top,simple,"Realistic Dildos",,"6.5"" Dong with Suction Cup - Pink","Pipedream has put a new twist on a classic product to bring you the best possible rubber made in the USA. Our American-made rubber is 100 percent phthalates and latex-free, environmentally safe and hypoallergenic.  We hope you enjoy using this product as much as we like making it!",,206.0000,1,"Taxable Goods","Catalog, Search",18.9500,,,,http://www.shotsmedia.nl/product_info.php?products_id=22571,,,,,,,,,,,,"30/11/2017, 23:11","30/11/2017, 23:16",,,"Block after Info Column",,,,,,,,,,,"Use config",,41.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,0.0000,1,0,0,0,,,,,,,,,,,pink,"55 cm",,,,,,,,,,,,,,,,,,,,,,,
pd4208-12,,Top,simple,"Realistic Dildos",,"6.5"" Dong with Suction Cup - Purple","Pipedream has put a new twist on a classic product to bring you the best possible rubber made in the USA. Our American-made rubber is 100 percent phthalates and latex-free, environmentally safe and hypoallergenic.  We hope you enjoy using this product as much as we like making it!",,206.0000,1,"Taxable Goods","Catalog, Search",18.9500,,,,http://www.shotsmedia.nl/product_info.php?products_id=22572,,,,,,,,,,,,"30/11/2017, 23:11","30/11/2017, 23:16",,,"Block after Info Column",,,,,,,,,,,"Use config",," -63.0000",0.0000,1,0,0,1,1.0000,1,10000.0000,1,0,1.0000,1,1,1,1,0.0000,1,0,0,0,,,,,,,,,,,Purple,"55 cm",,,,,,,,,,,,,,,,,,,,,,,
pd4208-14,,Top,simple,"Realistic Dildos",,"6.5"" Dong with Suction Cup - Blue","Pipedream has put a new twist on a classic product to bring you the best possible rubber made in the USA. Our American-made rubber is 100 percent phthalates and latex-free, environmentally safe and hypoallergenic.  We hope you enjoy using this product as much as we like making it!",,206.0000,1,"Taxable Goods","Catalog, Search",18.9500,,,,http://www.shotsmedia.nl/product_info.php?products_id=22573,,,,,,,,,,,,"30/11/2017, 23:11","30/11/2017, 23:16",,,"Block after Info Column",,,,,,,,,,,"Use config",,6.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,0.0000,1,0,0,0,,,,,,,,,,,Blue,"55 cm",,,,,,,,,,,,,,,,,,,,,,,
